Performance results for ver 1.1.0.0 - 2021-10-12 23:55:30
Test Case;Category;BinaryFormatter;DataContractSerializer;NewtonBSON;ObjectSerializer;ProtoBuf 3.0;
Array byte[];Data size;38 b;105 b;error;19 b;12 b;
Array byte[];Serialization time;7,71 ms;5,13 ms;error;2,52 ms;1,77 ms;
Array byte[];Deserialization time;13,89 ms;10,07 ms;error;2,01 ms;1,83 ms;
Array byte[];Total time;21,60 ms;15,20 ms;error;4,53 ms;3,61 ms;
Array double[];Data size;108 b;329 b;error;89 b;90 b;
Array double[];Serialization time;9,80 ms;22,69 ms;error;3,13 ms;3,83 ms;
Array double[];Deserialization time;16,31 ms;36,98 ms;error;2,27 ms;4,41 ms;
Array double[];Total time;26,11 ms;59,67 ms;error;5,41 ms;8,24 ms;
Array long[];Data size;108 b;285 b;error;89 b;20 b;
Array long[];Serialization time;9,69 ms;14,41 ms;error;3,09 ms;3,61 ms;
Array long[];Deserialization time;15,94 ms;35,87 ms;error;2,22 ms;4,74 ms;
Array long[];Total time;25,63 ms;50,28 ms;error;5,31 ms;8,34 ms;
Array mixed object[];Data size;322 b;error;error;137 b;error;
Array mixed object[];Serialization time;36,75 ms;error;error;7,86 ms;error;
Array mixed object[];Deserialization time;54,38 ms;error;error;5,43 ms;error;
Array mixed object[];Total time;91,13 ms;error;error;13,30 ms;error;
Array of huge objects;Data size;6263 b;48990 b;error;3521 b;600 b;
Array of huge objects;Serialization time;1743,32 ms;923,18 ms;error;84,92 ms;141,90 ms;
Array of huge objects;Deserialization time;1862,82 ms;2589,17 ms;error;72,90 ms;115,15 ms;
Array of huge objects;Total time;3606,13 ms;3512,36 ms;error;157,82 ms;257,05 ms;
Array SimpleClass[];Data size;431 b;962 b;error;123 b;69 b;
Array SimpleClass[];Serialization time;83,33 ms;48,48 ms;error;5,99 ms;15,80 ms;
Array SimpleClass[];Deserialization time;110,30 ms;87,62 ms;error;5,52 ms;21,07 ms;
Array SimpleClass[];Total time;193,63 ms;136,10 ms;error;11,51 ms;36,87 ms;
Array string[];Data size;73 b;261 b;error;31 b;22 b;
Array string[];Serialization time;16,60 ms;10,99 ms;error;4,03 ms;5,37 ms;
Array string[];Deserialization time;23,55 ms;30,46 ms;error;4,27 ms;6,69 ms;
Array string[];Total time;40,15 ms;41,45 ms;error;8,30 ms;12,06 ms;
Collection Dictionary[int,string];Data size;1387 b;327 b;33 b;283 b;23 b;
Collection Dictionary[int,string];Serialization time;79,88 ms;13,31 ms;8,95 ms;6,71 ms;6,41 ms;
Collection Dictionary[int,string];Deserialization time;138,40 ms;32,78 ms;8,50 ms;8,88 ms;7,86 ms;
Collection Dictionary[int,string];Total time;218,27 ms;46,10 ms;17,45 ms;15,59 ms;14,27 ms;
Collection LinkedList[SimpleClass];Data size;766 b;692 b;error;226 b;34 b;
Collection LinkedList[SimpleClass];Serialization time;67,58 ms;18,81 ms;error;5,23 ms;7,16 ms;
Collection LinkedList[SimpleClass];Deserialization time;105,32 ms;45,32 ms;error;6,39 ms;11,29 ms;
Collection LinkedList[SimpleClass];Total time;172,90 ms;64,13 ms;error;11,63 ms;18,45 ms;
Collection List[SimpleClass];Data size;682 b;692 b;error;220 b;34 b;
Collection List[SimpleClass];Serialization time;58,65 ms;19,38 ms;error;5,26 ms;6,42 ms;
Collection List[SimpleClass];Deserialization time;87,31 ms;44,78 ms;error;5,81 ms;10,48 ms;
Collection List[SimpleClass];Total time;145,96 ms;64,16 ms;error;11,07 ms;16,90 ms;
Instance of BasicTypes;Data size;592 b;1233 b;191 b;128 b;49 b;
Instance of BasicTypes;Serialization time;60,39 ms;43,19 ms;65,07 ms;3,91 ms;4,67 ms;
Instance of BasicTypes;Deserialization time;75,54 ms;96,06 ms;71,82 ms;3,46 ms;4,96 ms;
Instance of BasicTypes;Total time;135,93 ms;139,24 ms;136,89 ms;7,38 ms;9,63 ms;
Instance of class with all fields referring to the same object;Data size;539 b;error;error;error;error;
Instance of class with all fields referring to the same object;Serialization time;37,92 ms;error;error;error;error;
